1,4,N50Q_5,6783000Y8A,20260714,121945,F,0,1,,FPPFFPPPPPNN,1,F,3,20260714,121929,0,,,0,0

 43, BOARDSHORT,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 766, D1, 4.0000000  , 1
 54, FBA17,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 19, 392, D7, 4.0000000  , 1
 60, JHD1,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 338, 1163, C2, 4.0000000  , 1
 69, LUS5/3_4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 317, 293, C1, 4.0000000  , 1
 94, PJ1102,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 961, 959, B1, 4.0000000  , 1
 115, PL703,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 765, 1162, G5, 4.0000000  , 1
 121, PL1003,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3, 348, C5, 4.0000000  , 1
 200, RC9,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 346, 1005, C3, 4.0000000  , 1
 203, RC71,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 360, 150, D1, 4.0000000  , 1
 212, RC186,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 344, 180, C3, 4.0000000  , 1
 213, RC188,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 352, 939, C5, 4.0000000  , 1
 216, RC197,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 441, 151, D3, 4.0000000  , 1
 222, RC299,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 639, 448, D3, 4.0000000  , 1
 226, RC312,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 918, 361, C4, 4.0000000  , 1
 230, RC350,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 430, 995, C4, 4.0000000  , 1
 236, RC1384,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 354, 277, C3, 4.0000000  , 1
 237, RC1385,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 345, 275, C3, 4.0000000  , 1
 243, RC1412,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 138, 360, A5, 4.0000000  , 1
 342, RSI3,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 922, 323, A4, 4.0000000  , 1
 348, RSI26,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1000, 321, C6, 4.0000000  , 1
 354, RSI56,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 115, 393, A4, 4.0000000  , 1
 379, RSI107,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 437, 86, A3, 4.0000000  , 1
 380, RSI108,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 440, 81, A3, 4.0000000  , 1
 385, RSI115,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 223, 3235, B4, 4.0000000  , 1
 397, RSPI41/-RTM10,    10.00  ,    43.00  ,  20.0,  20.0, 2, R, 371, 3221, C4, 14801.0186888  , 1
 399, RSPI43/RSPI35,    10.00  ,    43.00  ,  10.0,  10.0, 0, R, 358, 357, C4, 172.3375205  , 1
 404, RSQ62,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3272, 378, C5, 4.0000000  , 1
 405, RSQ69,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 766, 379, C5, 4.0000000  , 1
 409, RTC9,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 624, 387, F6, 4.0000000  , 1
 415, RTC52,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 328, 992, C7, 4.0000000  , 1
 442, RTC135,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 329, 1, C2, 4.0000000  , 1
 454, RTM17,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 370, 1, C4, 4.0000000  , 1
 455, RTM19,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1058, 364, C4, 4.0000000  , 1
 458, RU38,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 285, 288, B1, 4.0000000  , 1
 462, RUS61,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3236, 3235, D1, 4.0000000  , 1
 614, PR1218,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 1162, 3249, G6, 14801.5994187K , 1
 616, PR1222,   150.00K ,   150.00K ,  10.0,  10.0, 2, R, 1, 3249, G6, 48845.2794187K , 1
 619, PR1301,    4.700K ,    4.700K ,  10.0,  10.0, 2, R, 3243, 3244, F6, 1480.1594187K , 1
 633, RA65,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 1085, 367, D1, 7398.2186888  , 1
 646, RC21,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 853, C4, 7.4825329K , 1
 666, RC49,    1.000K ,    1.000K ,  10.0,  10.0, 2, R, 13, 339, C3, 16.5012025K , 1
