1,815,V14V15_GEN5_IRL,6783001SCP,20260723,160036,F,0,1,,FPPFPPPPPPNN,1,F,2,20260723,160028,0,,,0,0

 439, PR5118,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 17, 3218, A2, 74.1791449K , 1
 488, RC7,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 250, 379, D4, 8.3584527K , 1
 510, RC64,    75.00K ,    65.00K ,  30.0,  30.0, 2, R, 1, 77, C4, 37.4435169K , 1
 511, RC65,   100.00K ,    90.00K ,  30.0,  50.0, 2, R, 1, 3219, D2, 42.5661661K , 1
 518, RC77,    20.00K ,    20.00K ,  10.0,  10.0, 2, R, 1, 226, C4, 17.5296347K , 1
 552, RC212,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 17, 621, D2, 74.6026259K , 1
 558, RC222,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 1, 264, C4, 66.0549932K , 1
 575, RC344,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 1, 356, D5, 77.0210018K , 1
 611, RN2,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 20, 270, B5, 50.8806368K , 1
 633, RPC226/2_3,   100.00K ,   100.00K ,  20.0,  30.0, 2, R, 1, 284, D1, 65.5579193K , 1
